S.No,YEAR,FLIGHT_NUMBER,DEPARTURE_DELAY,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,COMPLAINT_TYPE,COMPLAINT_DESCRIPTION,COMPLAINT_STATUS,COMPENSATION_AMNT,COMPENSATION_TYPE
121,2015,84,-5,-12,0,0,,,,,,
122,2015,1653,-4,-2,0,0,,,,,,
123,2015,193,-2,-6,0,0,,,,,,
124,2015,1096,-6,-21,0,0,,,,,,
125,2015,291,-1,-12,0,0,,,,,,
126,2015,2314,-4,0,0,0,,,,,,
127,2015,84,0,0,0,0,,,,,,
128,2015,1653,-3,-3,0,0,,,,,,
129,2015,193,-2,6,0,0,,,,,,
130,2015,1096,-6,3,0,0,,,,,,
131,2015,291,-3,10,0,0,,,,,,
132,2015,2314,-4,-9,0,0,,,,,,
133,2015,84,3,74,0,0,,,,,,
134,2015,1653,30,56,0,0,,,,,,
135,2015,193,34,46,0,0,,,,,,
136,2015,1096,-6,9,0,0,,,,,,
137,2015,291,0,1,0,0,,,,,,
138,2015,2314,74,66,0,0,,,,,,
139,2015,84,-3,-9,0,0,,,,,,
140,2015,1653,-4,-26,0,0,,,,,,
141,2015,193,-6,-8,0,0,,,,,,
142,2015,1096,-3,-10,0,0,,,,,,
143,2015,291,-3,-33,0,0,,,late,open,0,0
144,2015,2314,8,9,0,0,,,,,,
145,2015,84,-1,-8,0,0,,,,,,
146,2015,1653,3,15,0,0,,,,,,
147,2015,193,,,0,1,B,B,cancelled,closed,0,rebooked
148,2015,1096,,,0,1,B,B,cancelled,closed,0,rebooked
149,2015,291,,,0,1,B,,late,open,0,0
150,2015,2314,,,0,1,B,B,cancelled,closed,0,rebooked
151,2015,84,,,0,1,B,,,,,
152,2015,1653,,,0,1,B,,,,,
153,2015,193,,,0,1,B,,,,,
154,2015,1096,,,0,1,B,,,,,
155,2015,291,,,0,1,B,,,,,
156,2015,2314,,,0,1,B,,,,,
157,2015,84,,,0,1,B,,,,,
158,2015,1653,,,0,1,B,,,,,
159,2015,193,,,0,1,B,,,,,
160,2015,1096,34,43,0,0,,,,,,
161,2015,291,-3,-45,0,0,,,late,open,0,0
162,2015,2314,61,65,0,0,,,,,,
163,2015,84,-5,3,0,0,,,,,,
164,2015,1653,-3,-18,0,0,,,,,,
165,2015,193,-4,12,0,0,,,,,,
166,2015,1096,20,5,0,0,,,,,,
167,2015,291,-1,-32,0,0,,,,,,
168,2015,2314,0,3,0,0,,,late,open,0,0
169,2015,84,8,34,0,0,,,,,,
170,2015,1653,21,20,0,0,,,,,,
171,2015,193,7,16,0,0,,,,,,
172,2015,1096,-7,8,0,0,,,,,,
173,2015,291,-4,-12,0,0,,,,,,
174,2015,2314,41,39,0,0,,,,,,
175,2015,84,0,-5,0,0,,,,,,
176,2015,1653,-1,-13,0,0,,,,,,
177,2015,193,-5,-5,0,0,,,,,,
178,2015,1096,3,34,0,0,,,,,,
179,2015,291,-6,-27,0,0,,,,,,
180,2015,2314,6,3,0,0,,,late,open,0,0
181,2015,84,-5,-11,0,0,,B,cancelled,closed,0,rebooked
182,2015,1653,-3,-30,0,0,,,,,,
183,2015,193,-5,-10,0,0,,,,,,
184,2015,1096,,,0,1,B,B,cancelled,closed,0,rebooked
185,2015,291,-3,19,0,0,,,,,,
186,2015,2314,,,0,1,B,B,cancelled,closed,0,rebooked
187,2015,84,,,0,1,B,B,cancelled,closed,0,rebooked
188,2015,1653,,,0,1,B,,,,,
189,2015,193,,,0,1,B,,,,,
190,2015,1096,,,0,1,B,B,cancelled,closed,0,rebooked
191,2015,291,,,0,1,B,B,cancelled,closed,0,rebooked
192,2015,2314,,,0,1,B,B,cancelled,closed,0,rebooked
193,2015,84,40,28,0,0,,,,,,
194,2015,1653,-4,-17,0,0,,,,,,
195,2015,193,-5,12,0,0,,,,,,
196,2015,1096,112,138,0,0,,,late,open,0,0
197,2015,291,-1,-13,0,0,,,,,,
198,2015,2314,123,157,0,0,,,late,open,0,0
199,2015,84,2,3,0,0,,,,,,
200,2015,1653,-4,-6,0,0,,,,,,
201,2015,193,-5,11,0,0,,,,,,
202,2015,1096,-9,-4,0,0,,,,,,
203,2015,291,-6,-28,0,0,,,,,,
204,2015,2314,-4,-17,0,0,,,,,,
205,2015,84,-7,-10,0,0,,,,,,
206,2015,1653,-4,-5,0,0,,,,,,
207,2015,193,-4,10,0,0,,,,,,
208,2015,1096,49,60,0,0,,,,,,
209,2015,291,2,-27,0,0,,,,,,
210,2015,2314,101,103,0,0,,,late,open,0,0
211,2015,84,-1,-9,0,0,,,,,,
212,2015,1653,-3,-25,0,0,,,,,,
213,2015,193,-6,-1,0,0,,,,,,
214,2015,1096,-5,1,0,0,,,,,,
215,2015,291,0,-32,0,0,,,,,,
216,2015,2314,-3,-11,0,0,,,,,,
217,2015,84,-5,-11,0,0,,,,,,
218,2015,1653,-3,-14,0,0,,,,,,
219,2015,193,-4,4,0,0,,,,,,
220,2015,1096,-3,27,0,0,,,,,,
221,2015,291,-6,-51,0,0,,,,,,
222,2015,2314,-1,5,0,0,,,,,,
223,2015,84,-4,-10,0,0,,,,,,
224,2015,1653,12,-11,0,0,,,,,,
225,2015,193,15,34,0,0,,,,,,
226,2015,1096,131,135,0,0,,,late,open,0,0
227,2015,291,-4,-43,0,0,,,,,,
228,2015,2314,,,0,1,B,B,cancelled,closed,0,rebooked
229,2015,84,,,0,1,B,B,cancelled,closed,0,rebooked
230,2015,1653,,,0,1,B,,,,,
231,2015,193,,,0,1,B,,,,,
232,2015,1096,,,0,1,B,,,,,
233,2015,291,,,0,1,B,B,cancelled,closed,0,rebooked
234,2015,2314,,,0,1,B,B,cancelled,closed,0,rebooked
235,2015,84,-4,6,0,0,,,,,,
236,2015,1653,-4,4,0,0,,,,,,
237,2015,193,0,27,0,0,,,,,,
238,2015,1096,74,102,0,0,,,late,open,0,0
239,2015,291,-5,-36,0,0,,,,,,
240,2015,2314,72,75,0,0,,B,cancelled,closed,0,rebooked
241,2015,84,-3,-1,0,0,,,,,,
242,2015,1653,0,-15,0,0,,,,,,
243,2015,193,43,42,0,0,,,,,,
244,2015,1096,-7,29,0,0,,,,,,
245,2015,291,-3,-25,0,0,,,,,,
246,2015,2314,-5,-16,0,0,,,,,,
247,2015,84,0,-2,0,0,,,,,,
248,2015,1653,-4,-7,0,0,,,,,,
249,2015,193,65,62,0,0,,,,,,
250,2015,1096,27,47,0,0,,,,,,
251,2015,291,14,-6,0,0,,,,,,
252,2015,2314,18,41,0,0,,B,cancelled,closed,0,rebooked
253,2015,84,-9,-14,0,0,,,,,,
254,2015,1653,16,11,0,0,,,,,,
255,2015,193,-7,-5,0,0,,,,,,
256,2015,1096,0,19,0,0,,,,,,
257,2015,291,-4,-32,0,0,,,,,,
258,2015,2314,18,11,0,0,,,,,,
259,2015,84,-4,-10,0,0,,,,,,
260,2015,1653,16,-1,0,0,,,,,,
261,2015,193,-5,-9,0,0,,,,,,
262,2015,1096,-5,5,0,0,,,,,,
263,2015,291,1,6,0,0,,,,,,
264,2015,2314,,,0,1,B,,,,,
265,2015,84,,,0,1,B,,,,,
266,2015,1653,,,0,1,B,,,,,
267,2015,193,,,0,1,B,,,,,
268,2015,1096,,,0,1,B,,,,,
269,2015,291,6,2,0,0,,,,,,
270,2015,2314,,,0,1,B,B,cancelled,closed,0,rebooked
271,2015,84,-5,0,0,0,,,,,,
272,2015,1653,-2,-11,0,0,,,,,,
273,2015,193,125,159,0,0,,,late,open,0,0
274,2015,1096,126,111,0,0,,,late,open,0,0
275,2015,291,-2,21,0,0,,,,,,
276,2015,2314,164,152,0,0,,,late,open,0,0
277,2015,84,64,85,0,0,,,,,,
278,2015,1653,,,0,1,B,,,,,
279,2015,193,73,91,0,0,,,,,,
280,2015,1096,50,85,0,0,,,late,open,0,0
281,2015,291,50,43,0,0,,,,,,
282,2015,2314,63,64,0,0,,,late,open,0,0
283,2015,84,-4,4,0,0,,,,,,
284,2015,1653,1,-3,0,0,,,,,,
285,2015,193,-8,18,0,0,,,,,,
286,2015,1096,-7,-16,0,0,,,,,,
287,2015,291,-6,-33,0,0,,,,,,
288,2015,2314,31,32,0,0,,B,cancelled,closed,0,rebooked
289,2015,84,-1,-4,0,0,,,,,,
290,2015,1653,-3,-12,0,0,,,,,,
291,2015,193,-4,11,0,0,,,,,,
292,2015,1096,6,25,0,0,,,,,,
293,2015,291,8,-8,0,0,,,,,,
294,2015,2314,8,9,0,0,,,,,,
295,2015,84,-7,-13,0,0,,,,,,
296,2015,1653,-2,-12,0,0,,,,,,
297,2015,193,-9,-4,0,0,,,,,,
298,2015,1096,44,65,0,0,,B,cancelled,closed,0,rebooked
299,2015,291,-4,-5,0,0,,,,,,
300,2015,2314,22,34,0,0,,,,,,
301,2015,84,-5,-15,0,0,,,,,,
302,2015,1653,-6,-15,0,0,,,,,,
303,2015,193,-5,-8,0,0,,,,,,
304,2015,1096,131,183,0,0,,,late,open,0,0
305,2015,291,1,37,0,0,,,,,,
306,2015,2314,128,198,0,0,,,late,open,0,0
307,2015,84,124,157,0,0,,,late,open,0,0
308,2015,1653,211,207,0,0,,,,,,
309,2015,193,78,87,0,0,,,,,,
310,2015,1096,41,29,0,0,,,,,,
311,2015,291,85,79,0,0,,,,,,
312,2015,2314,28,17,0,0,,,,,,
313,2015,84,-5,-13,0,0,,,,,,
314,2015,1653,-7,2,0,0,,,,,,
315,2015,193,0,-2,0,0,,,,,,
316,2015,1096,-5,7,0,0,,,,,,
317,2015,291,1,9,0,0,,,,,,
318,2015,2314,48,36,0,0,,,,,,
319,2015,84,-6,-9,0,0,,,,,,
320,2015,1653,41,22,0,0,,,,,,
321,2015,193,-7,-7,0,0,,,,,,
322,2015,1096,-6,-11,0,0,,,late,open,0,0
323,2015,291,-8,-5,0,0,,,,,,
324,2015,2314,21,14,0,0,,,,,,
325,2015,84,-6,-11,0,0,,,,,,
326,2015,1653,1,1,0,0,,,,,,
327,2015,193,-8,0,0,0,,,,,,
328,2015,1096,-6,-6,0,0,,,,,,
329,2015,291,3,1,0,0,,,,,,
330,2015,2314,-2,-12,0,0,,,,,,
331,2015,84,-6,-3,0,0,,,,,,
332,2015,1653,157,177,0,0,,,,,,
333,2015,193,-4,-5,0,0,,,,,,
334,2015,1096,44,38,0,0,,,,,,
335,2015,291,9,4,0,0,,,,,,
336,2015,2314,35,23,0,0,,,,,,
337,2015,84,-6,-6,0,0,,,,,,
338,2015,1653,12,18,0,0,,,,,,
339,2015,193,-5,-8,0,0,,,,,,
340,2015,1096,-5,-10,0,0,,,,,,
341,2015,291,3,7,0,0,,,,,,
342,2015,2314,142,121,0,0,,,late,open,0,0
343,2015,84,-7,-21,0,0,,,,,,
344,2015,1653,-2,0,0,0,,,,,,
345,2015,193,-4,-11,0,0,,,,,,
346,2015,1096,49,50,0,0,,,,,,
347,2015,291,-1,-1,0,0,,,,,,
348,2015,2314,16,13,0,0,,,,,,
349,2015,84,0,-9,0,0,,,,,,
350,2015,1653,,,0,1,A,,,,,
351,2015,193,126,166,0,0,,,late,open,0,0
352,2015,1096,,,0,1,B,,,,,
353,2015,291,,,0,1,B,,,,,
354,2015,2314,,,0,1,B,B,cancelled,closed,0,rebooked
355,2015,84,18,9,0,0,,,,,,
356,2015,1653,2,17,0,0,,,,,,
357,2015,193,6,6,0,0,,,,,,
358,2015,1096,-7,38,0,0,,,,,,
359,2015,291,-2,-3,0,0,,,late,open,0,0
360,2015,2314,44,46,0,0,,,,,,
361,2015,84,-8,-20,0,0,,,,,,
362,2015,1653,-5,-15,0,0,,,,,,
363,2015,193,-6,-11,0,0,,,,,,
364,2015,1096,-3,-3,0,0,,,,,,
365,2015,291,28,45,0,0,,,,,,
366,2015,2314,,,0,1,B,B,cancelled,closed,0,rebooked
367,2015,84,-5,-12,0,0,,,late,open,0,0
368,2015,1653,20,19,0,0,,,,,,
369,2015,193,-5,-15,0,0,,,,,,
370,2015,1096,52,36,0,0,,,,,,
371,2015,291,60,64,0,0,,,,,,
372,2015,2314,10,7,0,0,,,,,,
373,2015,84,,,0,1,B,B,cancelled,closed,0,rebooked
374,2015,1653,,,0,1,B,,,,,
375,2015,193,138,183,0,0,,,late,open,0,0
376,2015,1096,,,0,1,B,B,cancelled,closed,0,rebooked
377,2015,291,,,0,1,B,B,cancelled,open,500,refund
378,2015,2314,106,169,0,0,,,late,open,0,0
379,2015,84,-6,6,0,0,,,,,,
380,2015,1653,7,5,0,0,,,,,,
381,2015,193,11,10,0,0,,,,,,
382,2015,1096,80,69,0,0,,,,,,
383,2015,291,0,-18,0,0,,,,,,
384,2015,2314,54,45,0,0,,,,,,
385,2015,84,-2,-6,0,0,,,,,,
386,2015,1653,10,21,0,0,,,,,,
387,2015,193,1,-2,0,0,,,,,,
388,2015,1096,-6,-7,0,0,,,,,,
389,2015,291,151,156,0,0,,,late,open,0,0
390,2015,2314,10,2,0,0,,,,,,
391,2015,84,,,0,1,A,A,cancelled,open,0,rebooked
392,2015,1653,-2,-25,0,0,,,,,,
393,2015,193,62,74,0,0,,,,,,
394,2015,1096,-2,18,0,0,,,,,,
395,2015,291,24,41,0,0,,,,,,
396,2015,2314,50,44,0,0,,,,,,
397,2015,84,-5,4,0,0,,B,cancelled,closed,0,rebooked
398,2015,1653,1,-14,0,0,,,,,,
399,2015,193,-4,0,0,0,,,,,,
400,2015,1096,2,2,0,0,,,,,,
401,2015,291,-5,-15,0,0,,,,,,
402,2015,2314,-2,-7,0,0,,,,,,
403,2015,84,-5,-14,0,0,,,,,,
404,2015,1653,1,-20,0,0,,,,,,
405,2015,193,-3,-12,0,0,,,,,,
406,2015,1096,-6,-5,0,0,,,,,,
407,2015,291,-6,-12,0,0,,,,,,
408,2015,2314,2,0,0,0,,,,,,
409,2015,84,-8,9,0,0,,,,,,
410,2015,1653,6,-11,0,0,,,,,,
411,2015,193,-4,1,0,0,,,,,,
412,2015,1096,-4,-11,0,0,,,,,,
413,2015,291,-2,-23,0,0,,,,,,
414,2015,2314,76,75,0,0,,B,cancelled,closed,0,rebooked
415,2015,84,-6,38,0,0,,,,,,
416,2015,1653,73,107,0,0,,,,,,
417,2015,193,-4,-8,0,0,,,,,,
418,2015,1096,-6,10,0,0,,,,,,
419,2015,291,11,17,0,0,,,,,,
420,2015,2314,70,84,0,0,,,,,,
421,2015,84,37,23,0,0,,,,,,
422,2015,1653,0,-14,0,0,,,,,,
423,2015,193,-4,-12,0,0,,,,,,
424,2015,1096,-1,-9,0,0,,,,,,
425,2015,291,4,-21,0,0,,,,,,
426,2015,2314,2,0,0,0,,,,,,
427,2015,84,-3,9,0,0,,,,,,
428,2015,1653,3,6,0,0,,,,,,
429,2015,193,-2,-2,0,0,,,,,,
430,2015,1096,50,44,0,0,,,,,,
431,2015,291,17,1,0,0,,,,,,
432,2015,2314,84,76,0,0,,,,,,
433,2015,84,7,3,0,0,,,,,,
434,2015,1653,-4,-16,0,0,,,,,,
435,2015,193,,,0,1,C,C,cancelled,open,0,rebooked
436,2015,1096,10,95,0,0,,,,,,
437,2015,291,159,178,0,0,,,late,open,0,0
438,2015,2314,,,0,1,B,B,cancelled,open,500,refund
439,2015,84,1,-6,0,0,,,,,,
440,2015,1653,-4,-35,0,0,,,,,,
441,2015,193,-7,-13,0,0,,,,,,
442,2015,1096,2,-1,0,0,,,,,,
443,2015,291,0,-43,0,0,,,,,,
444,2015,2314,0,5,0,0,,,,,,
445,2015,84,-2,-13,0,0,,,,,,
446,2015,1653,1,1,0,0,,,,,,
447,2015,193,-5,-5,0,0,,,,,,
448,2015,1096,3,13,0,0,,,,,,
449,2015,291,-5,-3,0,0,,,,,,
450,2015,2314,175,217,0,0,,,late,open,0,0
451,2015,84,-5,8,0,0,,,,,,
452,2015,1653,-1,46,0,0,,,,,,
453,2015,193,-6,20,0,0,,,,,,
454,2015,1096,0,17,0,0,,,,,,
455,2015,291,3,-3,0,0,,,,,,
456,2015,2314,90,86,0,0,,,,,,
457,2015,84,-1,-9,0,0,,,,,,
458,2015,1653,15,-8,0,0,,,,,,
459,2015,193,-5,-12,0,0,,,,,,
460,2015,1096,-3,-11,0,0,,,,,,
461,2015,291,-1,-21,0,0,,,,,,
462,2015,2314,17,18,0,0,,,,,,
463,2015,84,6,-1,0,0,,,,,,
464,2015,1653,-4,-20,0,0,,,,,,
465,2015,193,,,0,1,A,A,cancelled,open,0,
466,2015,1096,10,28,0,0,,,,,,
467,2015,291,176,257,0,0,,,late,open,0,0
468,2015,2314,48,91,0,0,,,,,,
469,2015,84,89,107,0,0,,,late,open,0,0
470,2015,1653,,,0,1,A,,,,,
471,2015,193,54,62,0,0,,,,,,
472,2015,1096,-1,-16,0,0,,,,,,
473,2015,291,43,23,0,0,,,,,,
474,2015,2314,28,26,0,0,,,,,,
475,2015,84,-2,-14,0,0,,,late,open,0,0
476,2015,1653,-2,-19,0,0,,,,,,
477,2015,193,-4,-9,0,0,,,,,,
478,2015,1096,23,17,0,0,,,,,,
479,2015,291,-3,-19,0,0,,,late,open,0,0
480,2015,2314,10,5,0,0,,,,,,
481,2015,84,0,-7,0,0,,,,,,
482,2015,1653,7,-8,0,0,,,,,,
483,2015,193,-9,-15,0,0,,,,,,
484,2015,1096,-5,-15,0,0,,,,,,
485,2015,291,-3,-22,0,0,,,,,,
486,2015,2314,-1,-3,0,0,,,,,,
487,2015,84,-5,-18,0,0,,,,,,
488,2015,1653,-6,-32,0,0,,,,,,
489,2015,193,-2,0,0,0,,,,,,
490,2015,1096,-5,-25,0,0,,,,,,
491,2015,291,-1,-10,0,0,,,,,,
492,2015,2314,-4,0,0,0,,,,,,
493,2015,84,-3,-7,0,0,,,,,,
494,2015,1653,-1,-10,0,0,,,,,,
495,2015,193,-6,-8,0,0,,,,,,
496,2015,1096,-3,-10,0,0,,,,,,
497,2015,291,0,-28,0,0,,,,,,
498,2015,2314,85,103,0,0,,,late,open,0,0
499,2015,84,-4,-3,0,0,,,,,,
500,2015,1653,5,-15,0,0,,,,,,
501,2015,193,-5,-8,0,0,,,,,,
502,2015,1096,-4,6,0,0,,,,,,
503,2015,291,131,197,0,0,,,late,open,0,0
504,2015,2314,698,688,0,0,,,late,open,0,0
505,2015,84,-5,0,0,0,,,,,,
506,2015,1653,-1,4,0,0,,,,,,
507,2015,193,0,2,0,0,,,,,,
508,2015,1096,39,16,0,0,,,,,,
509,2015,291,4,-30,0,0,,,,,,
510,2015,2314,6,4,0,0,,,,,,
511,2015,84,10,3,0,0,,,,,,
512,2015,1653,-4,-23,0,0,,,,,,
513,2015,193,98,105,0,0,,,late,open,0,0
514,2015,1096,-2,17,0,0,,,,,,
515,2015,291,29,-22,0,0,,,,,,
516,2015,2314,1,0,0,0,,,,,,
517,2015,335,-1,-15,0,0,,,,,,
518,2015,178,70,83,0,0,,,,,,
519,2015,1664,96,86,0,0,,,,,,
520,2015,291,11,-6,0,0,,,,,,
521,2015,2314,17,21,0,0,,,,,,
522,2015,84,28,22,0,0,,,,,,
523,2015,335,-3,-21,0,0,,,,,,
524,2015,178,17,19,0,0,,,,,,
525,2015,1664,-2,-10,0,0,,,,,,
526,2015,291,0,-24,0,0,,,,,,
527,2015,2314,-1,-7,0,0,,,late,open,0,0
528,2015,84,-5,-20,0,0,,B,,open,0,
529,2015,335,-5,-28,0,0,,,,,,
530,2015,178,-5,-13,0,0,,,,,,
531,2015,1664,0,-23,0,0,,,,,,
532,2015,291,1,-15,0,0,,,,,,
533,2015,2314,31,26,0,0,,,,,,
534,2015,84,-3,-10,0,0,,B,,open,0,
535,2015,335,-6,5,0,0,,,,,,
536,2015,178,3,4,0,0,,,,,,
537,2015,1664,-7,-8,0,0,,,,,,
538,2015,291,0,-18,0,0,,,,,,
539,2015,2314,-2,-4,0,0,,,,,,
540,2015,84,4,3,0,0,,,,,,
541,2015,335,27,11,0,0,,,,,,
542,2015,178,1,3,0,0,,,,,,
543,2015,1664,-3,-9,0,0,,,,,,
544,2015,291,45,40,0,0,,,,,,
545,2015,2314,35,40,0,0,,,,,,
546,2015,84,-4,-11,0,0,,,,,,
547,2015,335,-2,-9,0,0,,,,,,
548,2015,178,-2,2,0,0,,,,,,
549,2015,1664,-5,-2,0,0,,,,,,
550,2015,291,-3,-7,0,0,,,,,,
551,2015,2314,52,47,0,0,,,,,,
552,2015,84,110,104,0,0,,,late,open,0,0
553,2015,335,-1,71,0,0,,,,,,
554,2015,178,47,60,0,0,,,,,,
555,2015,1664,-4,21,0,0,,,,,,
556,2015,291,30,69,0,0,,,,,,
557,2015,2314,246,227,0,0,,,late,open,0,0
558,2015,84,11,2,0,0,,,,,,
559,2015,335,41,25,0,0,,,,,,
560,2015,178,82,89,0,0,,,,,,
561,2015,1664,-7,-24,0,0,,,,,,
562,2015,291,36,38,0,0,,,,,,
563,2015,2314,15,6,0,0,,,,,,
564,2015,84,-8,-6,0,0,,A,cancelled,open,0,rebooked
565,2015,335,-2,-24,0,0,,,,,,
566,2015,178,0,-5,0,0,,,,,,
567,2015,1664,-3,-26,0,0,,,,,,
568,2015,291,-6,-5,0,0,,,,,,
569,2015,2314,-6,7,0,0,,,,,,
570,2015,84,-5,-20,0,0,,,,,,
571,2015,335,-5,-15,0,0,,,,,,
572,2015,178,-6,-9,0,0,,,,,,
573,2015,1664,29,34,0,0,,,,,,
574,2015,291,-3,-21,0,0,,,late,open,0,0
575,2015,2314,60,63,0,0,,,,,,
576,2015,84,-5,-18,0,0,,,,,,
577,2015,335,-4,-8,0,0,,,,,,
578,2015,178,-3,1,0,0,,,,,,
579,2015,1664,65,71,0,0,,,,,,
580,2015,291,13,43,0,0,,,,,,
581,2015,2314,45,50,0,0,,,,,,
582,2015,84,56,46,0,0,,,,,,
583,2015,335,-2,1,0,0,,,,,,
584,2015,178,2,9,0,0,,,,,,
585,2015,1664,66,66,0,0,,,,,,
586,2015,291,48,27,0,0,,,,,,
587,2015,2314,13,12,0,0,,,,,,
588,2015,84,-4,-10,0,0,,,,,,
589,2015,335,-4,-7,0,0,,,,,,
